Part                           ,Description                                                          ,Quantity ,Supplier            ,Supplier Part Number ,Unit Cost (CAD) ,Reference
Tray Frame X
Tray Frame Y
Tray Frame Z
Tray Drawer Slide              ,24in.; Pair                                                          ,       1 ,McMaster-Carr       ,11435A28             ,          42.92 ,.
Tray Mesh Medium               ,2ft. Wide                                                            ,       1 ,McMaster-Carr       ,9218T13              ,         119.04 ,.
Tray Mesh Velcro               ,1n. Wide; 30ft. Roll                                                 ,       1 ,McMaster-Carr       ,95005K817            ,          55.27 ,.
Root-Zone Container Composite  ,1.43oz Dyneema; 0.5yd sections; Cut & Folded                         ,       2 ,Ripstop by the Roll ,                     ,          34.09 ,.
Root-Zone Container Adhesive   ,Pressure-Sensitive Adhesive Tape for Dyneema; 1/2in. Wide; 5yd. Roll ,       3 ,Ripstop by the Roll ,                     ,           6.41 ,https://ripstopbytheroll.com/products/dyneema-composite-fabric-double-sided-adhesive-tape
Root-Zone Container Drawstring ,Nylon Cord; 5/32in. dia.; 50ft. Length                               ,       1 ,McMaster-Carr       ,3696T38              ,           2.82 ,https://www.mcmaster.com/3696T38/
Root-Zone Container Lock       ,Slide-to-Release Wheel; Pack of 25                                   ,       1 ,McMaster-Carr       ,3734T4               ,          29.23 ,https://www.mcmaster.com/3734T4
Aeroponic Misting Nozzle       ,80deg Full-Cone; Brass; 5gal. per hr. @100PSI; 1/8 MPT               ,       4 ,McMaster-Carr       ,3178K75              ,          22.66 ,https://www.mcmaster.com/3178K75/
