Part                                             ,Description                                                                     ,Quantity         ,Supplier        ,Supplier Part Number ,Unit Cost (CAD) ,Reference
Diaphragm Pump                                   ,4.1L/min @80PSI Auto-Shutoff                                                    ,1                ,Amazon          ,                     ,36.99           ,https://www.amazon.ca/SAILFLO-Pressure-Diaphragm-Caravan-Marine/dp/B0711RC7DB
Accumulator Tank                                 ,0.75L 125psi Max                                                                ,1                ,Amazon          ,                     ,57.79           ,https://www.amazon.ca/dp/B08J3W7742
3/8in. Tubing                                    ,"3/8in. ID x 1/2in. OD x 25ft. Coil, Polyethylene"                              ,1                ,Home Depot (CA) ,1001002123           ,15.97           ,https://www.homedepot.ca/product/canada-tubing-polythylene-tubing-3-8-inch-inside-diameter-x-1-2-inch-outside-diameter-x-25-ft-coil-/1001002123
Teflon Tape                                      ,"1/2in. x 40ft. Roll, White"                                                    ,1                ,Home Depot (CA) ,1000153549           ,0.75            ,https://www.homedepot.ca/product/masters-1-2-inch-x-480-inch-white-tape/1000153549
1/2 FPT x 1/4in. OD Compression Fitting Adapter  ,"Brass, 90psi max"                                                              ,1                ,McMaster-Carr   ,51875K14             ,9.05            ,https://www.mcmaster.com/51875K14/
3/4 Hose Female x 3/8in. Barb                    ,"Brass, Swivel"                                                                 ,1                ,Home Depot (CA) ,1001001898           ,8.98            ,https://www.homedepot.ca/product/sioux-chief-3-4-inch-x-3-8-inch-lead-free-brass-fgh-x-barb-swivel-adapter/1001001898
SAE #6 Hose Clamp (Pack of 10)                   ,"7/32in. to 5/8in. dia., 1/2in. Band Width, Steel, Worm-Drive, 1/4in. Hex Head" ,1 pack (5 units) ,McMaster-Carr   ,5415K11              ,7.75 (0.78 ea.) ,https://www.mcmaster.com/5415K11
1/4in. OD Tubing                                 ,"0.17in. ID x 1/4in. OD x 25ft. Coil, Polyethylene"                             ,1                ,Home Depot (CA) ,1001002217           ,7.92            ,https://www.homedepot.ca/product/canada-tubing-polythylene-tubing-0-17-inside-diameter-x-1-4-inch-outside-diameter-x-25-ft-coil/1001002217
1/2 FPT Tee                                      ,"Brass, 1000psi max"                                                            ,1                ,McMaster-Carr   ,50785K74             ,14.24           ,https://www.mcmaster.com/50785K74
Misting Nozzle                                   ,"80deg Full-Cone, Brass, 0.02in. orifice dia., 1/8in. MPT, 5gph @100psi"        ,2                ,McMaster-Carr   ,3178K75              ,10.04           ,https://www.mcmaster.com/3178K75/
1/8 FPT Straight Coupling                        ,"Brass, Hex Body, 1000psi"                                                      ,2                ,McMaster-Carr   ,50785K91             ,1.33            ,https://www.mcmaster.com/50785k91
1/4in. OD Push-to-Connect (inline) x 1/8 MPT Tee ,"Plastic and Brass, 140psi max"                                                 ,1                ,McMaster-Carr   ,51235K147            ,4.00            ,https://www.mcmaster.com/51235k147
1/4in. OD Push-to-Connect x 1/8 MPT Elbow        ,"Plastic and Brass, 140psi max"                                                 ,1                ,McMaster-Carr   ,51235K127            ,2.66            ,https://www.mcmaster.com/51235K127
1/4in. OD Quick-Disconnect                       ,"Plastic, Compression Fitting Ends, 100psi max"                                 ,1                ,McMaster-Carr   ,5012K122             ,29.29           ,https://www.mcmaster.com/5012K122/
Heat Sink Manifold                               ,"Aluminum, 1/2 FPT inlet x 3x 3/8 FPT outlet, 1000psi max"                      ,1                ,McMaster-Carr   ,3491N13              ,40.37           ,https://www.mcmaster.com/3491N13/
3/8 MPT Manifold Plug                            ,"Aluminum, 5/16in. Hex Drive, 150psi max"                                       ,2                ,McMaster-Carr   ,3867T364             ,6.03            ,https://www.mcmaster.com/3867T364/
1/2 MPT x 3/8in. Barb                            ,"Aluminum, 150psi max"                                                          ,1                ,McMaster-Carr   ,5357K38              ,7.44            ,https://www.mcmaster.com/5357K38/
3/8 MPT x 3/8in. Barb                            ,"Aluminum, 150psi max"                                                          ,1                ,McMaster-Carr   ,5357K37              ,4.10            ,https://www.mcmaster.com/5357K37/
1/2 MPT x 3/8in. Barb                            ,"Brass, 150psi max"                                                             ,1                ,McMaster-Carr   ,2838N23              ,4.69            ,https://www.mcmaster.com/2838N23
1/2 FPT On/Off Valve                             ,"Brass, 600psi max"                                                             ,1                ,McMaster-Carr   ,47865K23             ,11.26           ,https://www.mcmaster.com/47865K23/
3/8 MPT x 3/8in. Barb                            ,"Brass, 150psi max"                                                             ,1                ,McMaster-Carr   ,2838N22              ,3.36            ,https://www.mcmaster.com/2838N22/
3/8 FPT Elbow                                    ,"Brass, 1000psi max"                                                            ,2                ,McMaster-Carr   ,50785K37             ,4.98            ,https://www.mcmaster.com/50785K37
Solution Manifold                                ,"3/8 MPT Inlet (brass) x 6x 1/4in. OD Push-Connect Outlet (plastic), 140psi max",2                ,McMaster-Carr   ,5203K956             ,20.18           ,https://www.mcmaster.com/5203K956/
3/8 MPT Nipple                                   ,"Brass, 1000psi max"                                                               ,1                ,McMaster-Carr   ,5485K23       ,3.53      ,https://www.mcmaster.com/5485K23/
3/8 FPT Tee                                      ,"Brass, 1000psi max"                                                            ,1                ,McMaster-Carr   ,50785K73             ,7.66            ,https://www.mcmaster.com/50785K73/
1/2 FPT x 3/8 MPT Adapter                        ,"Brass, 1000psi max"                                                            ,1                ,McMaster-Carr   ,50785K29             ,4.55            ,https://www.mcmaster.com/50785K29/
1/2 BSPP Female x 1/2 MPT Adapter                ,"Brass, 1000psi max"                                                            ,1                ,McMaster-Carr   ,50785K608            ,18.62           ,https://www.mcmaster.com/50785K608/
O-Rings for 1/2 BSPP                             ,"Nitrile Rubber and Steel, 1400psi max"                                         ,3                ,McMaster-Carr   ,50915K816            ,1.11            ,https://www.mcmaster.com/50915K816/
