"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Description"
"A000053","Arduino","1050-1066-ND","Microcontroller","U1","Active","1","27.39000","$27.39","453","ARDUINO MICRO ATMEGA32U4 EVAL BD"
"59630-1-T-03-A","Littelfuse Inc.","F7185-ND","Float Sensor","S2","Active","1","9.64000","$9.64","385","REED SENSOR W/INTEGRAL FLOAT"
"RNMF14FTC4K70","Stackpole Electronics Inc","S4.7KCACT-ND","Pull Down Resistor","R1-3","Active","3","0.14000","$0.42","51538","RES 4.7K OHM 1/4W 1% AXIAL"
"030-8-0011","Senseair North America Inc.","2194-030-8-0011-ND","CO2 Sensor","S3","Active","1","107.08000","$107.08","134","K30 EXTENDED RANGE"
"2857","Adafruit Industries LLC","1528-1540-ND","SHT31 Breakout","S1","Active","1","19.30000","$19.30","357","SENSOR HUMID/TEMP 5V I2C 2% MOD"
"NAU7802KGI","Nuvoton Technology Corporation of America","NAU7802KGI-ND","24 Bit ADC","U2","Active","1","3.08000","$3.08","377","IC ADC 24BIT SIGMA-DELTA 16DIP"
"C322C104K5R5TA","KEMET","399-4329-ND","","C1,C2","Active","2","0.33000","$0.66","106126","CAP CER 0.1UF 50V X7R RADIAL"
"FG14X7R1A106KRT06","TDK Corporation","445-173132-1-ND","IC Decoupling","C4,C5","Active","2","0.77000","$1.54","6043","CAP CER 10UF 10V X7R RADIAL"
"PH1-14-UA","Adam Tech","2057-PH1-14-UA-ND","","","Active","1","0.29000","$0.29","2756","CONN HEADER VERT 14POS 2.54MM"
"SEN-14727","SparkFun Electronics","1568-1898-ND","Load Cell","","Active","2","13.83000","$27.66","196","MINI LOAD CELL 100G STRAIGHT BAR"
"K331J15C0GF5TL2","Vishay Beyschlag/Draloric/BC Components","BC1019CT-ND","","","Active","1","0.40000","$0.40","7440","CAP CER 330PF 50V C0G/NP0 RADIAL"
