Index,Manufacturer Part Number,Manufacturer Name,Description,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Datasheet,Reference Designator,Product Notes
1,1294,Adafruit Industries LLC,MEMORY CARD SDHC 8GB CLASS 4,1,1,Bulk,1528-1294-ND,40.51000,$40.51,1,,,
2,SC1176,Raspberry Pi,SBC 1.0GHZ 4 CORE 512MB RAM,1,1,Bulk,2648-SC1176-ND,22.50000,$22.50,1,https://datasheets.raspberrypi.com/rpizero2/raspberry-pi-zero-2-w-product-brief.pdf,U1,
3,742-10010-00300,CNC Tech,CBL HDMI-A M TO HDMI-C M 3M SHLD,1,1,Box,1175-1676-ND,29.75000,$29.75,1,https://www.cnctech.us/pdfs/742-10010-00300.pdf,,
4,5400,Adafruit Industries LLC,ESP32 FEATHER V2 STEMMA QT,1,1,Bulk,1528-5400-ND,31.91000,$31.91,1,,U2,
5,2185,Adafruit Industries LLC,CABLE A PLUG TO MCR B PLUG 6.56',1,1,Bulk,1528-2185AD-ND,7.92000,$7.92,1,,,
6,2992,Adafruit Industries LLC,OTG MICRO-USB AND ETHERNET HUB,1,1,Bulk,1528-1615-ND,22.43000,$22.43,1,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/903/2992_Web.pdf,,
7,1994,Adafruit Industries LLC,5V 2A SWITCHING POWER SUPPLY W/,1,1,Bulk,1528-1994-ND,13.72000,$13.72,1,,,
8,922,Adafruit Industries LLC,BLACK USB KEYBOARD,1,1,Bulk,1528-922-ND,74.94000,$74.94,1,,,
9,2144,Adafruit Industries LLC,RASPBERRY PI CAMERA CABLE 2M,1,1,Bulk,1528-1792-ND,8.93000,$8.93,1,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2230/2144_Web.pdf,,
10,5211,Adafruit Industries LLC,RPI ZERO CAMERA CABLE 300MM,1,1,Bulk,1528-5211-ND,5.93000,$5.93,1,,,
11,3100,Adafruit Industries LLC,CAMERA BD RASPBERRY PI NOIR 8MP,1,1,Box,3100-ND,69.19000,$69.19,1,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2273/3100_Web.pdf,,
12,3671,Adafruit Industries LLC,CSI OR DSI CABLE EXTENDER FOR RA,1,1,Bulk,1528-2450-ND,4.43000,$4.43,1,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/38/3671_Web.pdf,,
13,3110,Adafruit Industries LLC,"0.56"" 4-DIGIT 7-SEGMENT YELLOW",1,1,Box,1528-1674-ND,15.91000,$15.91,1,https://cdn-learn.adafruit.com/downloads/pdf/adafruit-7-segment-led-featherwings.pdf,,
14,4215,Adafruit Industries LLC,CABLE MOD 8P8C JACK-PLUG 0.98',8,8,Bulk,1528-4215-ND,7.92000,$63.36,1,https://cdn-shop.adafruit.com/product-files/4215/P4215_PCM-0164_RJ45F-_M_30CM.pdf,,
15,5625,Adafruit Industries LLC,STEMMA QT 5 PORT PASSIVE HUB,2,2,Bulk,1528-5625-ND,3.75000,$7.50,1,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/5014/5625_Web.pdf,,
16,4210,Adafruit Industries LLC,JST SH 4-PIN CABLE - QWIIC COMPA,12,12,Bulk,1528-4210-ND,1.43000,$17.16,1,https://cdn-shop.adafruit.com/product-files/4210/4210_Kaweei_CBH-100-04-100_cross_part_for_C13334-001.pdf,,
17,2223,Adafruit Industries LLC,STACKING HEADER 40PIN,1,1,Bulk,1528-1385-ND,4.43000,$4.43,1,https://cdn-shop.adafruit.com/product-files/2223/P2223+F201-SGP-D110-XX__1_old+flat.pdf,U1,
18,2830,Adafruit Industries LLC,FEATHER STACKING HEADERS FML,1,1,Bulk,2830-ND,1.88000,$1.88,1,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1104/2830_Web.pdf,U2,
19,198,Adafruit Industries LLC,LCD MOD 80DIG 20X4 TRANSFLECTIVE,1,1,Bulk,1528-198-ND,26.93000,$26.93,1,https://cdn-shop.adafruit.com/datasheets/HD44780.pdf,,
20,292,Adafruit Industries LLC,I2C/SPI CHARACTER LCD BACKPACK,1,1,Bulk,1528-1446-ND,14.93000,$14.93,1,https://cdn-learn.adafruit.com/downloads/pdf/i2c-spi-lcd-backpack.pdf,,
21,5880,Adafruit Industries LLC,ADAFRUIT I2C STEMMA QT ROTARY EN,1,1,Bulk,1528-5880-ND,12.72000,$12.72,1,,,
22,2056,Adafruit Industries LLC,"KNOB KNURLED 0.236"" METAL",1,1,Bulk,1528-1906-ND,6.32000,$6.32,1,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2080/2056_Web.pdf,,
23,4756,Adafruit Industries LLC,STEMMA QT I2C EXTENDER LTC4311,1,1,Bulk,1528-4756-ND,14.93000,$14.93,1,,,
