Part                       ,Quantity ,Materials             ,Unit Cost (CAD) ,Process           ,Time Each (min) ,Reference
L Bracket                  ,      12 ,PETG Filament         ,TBA                       ,3D Printing       ,TBA             ,../fabrication/brackets/bracket_l.stl
L Bracket (Grow Tray)      ,       4 ,PETG Filament         ,TBA                       ,3D Printing       ,TBA             ,../fabrication/brackets/bracket_l_alt.stl
Diagonal Bracket           ,       4 ,PETG Filament         ,TBA                       ,3D Printing       ,TBA             ,../fabrication/brackets/bracket_diagonal.stl
T Bracket                  ,      10 ,PETG Filament         ,TBA                       ,3D Printing       ,TBA             ,../fabrication/brackets/bracket_t.stl
Tray Hook BL               ,       2 ,PETG Filament         ,TBA                       ,3D Printing       ,TBA             ,../fabrication/trayhook_backleft.stl
Tray Hook BR               ,       2 ,PETG Filament         ,TBA                       ,3D Printing       ,TBA             ,../fabrication/trayhook_backright.stl
Tray Hook FL               ,       2 ,PETG Filament         ,TBA                       ,3D Printing       ,TBA             ,../fabrication/trayhook_frontleft.stl
Tray Hook FR               ,       2 ,PETG Filament         ,TBA                       ,3D Printing       ,TBA             ,../fabrication/trayhook_frontleft.stl
Grow Plate Quarters        ,       4 ,210x210x5mm PET Sheet ,TBA                       ,CNC/Vinyl Cutting ,TBA             ,../fabrication/growtray/growtray_plate_quarter.stl
Grow Plate Washer          ,       1 ,PETG Filament         ,TBA                       ,3D Printing       ,TBA             ,../fabrication/growtray/growtray_plate_washer.stl
Nozzle Mount A             ,       2 ,PETG Filament         ,TBA                       ,3D Printing       ,TBA             ,../fabrication/growtray/growtray_nozzlemount_a.stl
Nozzle Mount B             ,       2 ,PETG Filament         ,TBA                       ,3D Printing       ,TBA             ,../fabrication/growtray/growtray_nozzlemount_b.stl
Lighting LED Board Mount   ,       5 ,PETG Filament         ,TBA                       ,3D Printing       ,TBA             ,../fabrication/lightingtray/lighting_driver_mount.stl
Lighting Power Board Mount ,       1 ,PETG Filament         ,TBA                       ,3D Printing       ,TBA             ,../fabrication/lightingtray/lighting_led_mount.stl
Feet                       ,       4 ,PETG Filament         ,TBA                       ,3D Printing       ,TBA             ,../fabrication/feet.stl
