
Index,Manufacturer Part Number,Manufacturer Name,Description,Quantity,Pack Type,Digi-Key Part Number,Unit Price,Extended Price,Datasheet,Reference Designator
1,2N6388G,onsemi,TRANS NPN DARL 80V 10A TO220AB,1,Tube,2N6388GOS-ND,1.26000,$1.26,https://www.onsemi.com/pdf/datasheet/2n6387-d.pdf,Q3
2,LM324N,Texas Instruments,IC OPAMP GP 4 CIRCUIT 14DIP,1,Tube,296-1391-5-ND,0.64000,$0.64,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%253A%252F%252Fwww.ti.com%252Flit%252Fgpn%252Flm224,OPAMP1
3,0436450200,Molex,CONN RECEPT 2POS 3MM SINGLE ROW,1,Bulk,WM1845-ND,0.51000,$0.51,https://www.molex.com/pdm_docs/sd/436450200_sd.pdf,
4,0436500201,Molex,CONN HEADER R/A 2POS 3MM,1,Tray,WM1865-ND,1.79000,$1.79,https://www.molex.com/pdm_docs/ps/PS-43650.pdf,J3
5,0462355002,Molex,CONN SOCKET 20-24AWG CRIMP GOLD,2,Cut Tape (CT),WM2259CT-ND,0.41000,$0.82,https://www.molex.com/pdm_docs/sd/462355002_sd.pdf,
6,G5LE-14 DC3,Omron Electronics Inc-EMC Div,RELAY GEN PURPOSE SPDT 10A 3V,2,Tray,Z3326-ND,2.35000,$4.70,https://omronfs.omron.com/en_US/ecb/products/pdf/en-g5le.pdf,"K1,2"
7,MMBT2222A-7-F,Diodes Incorporated,TRANS NPN 40V 0.6A SMD SOT23-3,4,Cut Tape (CT),MMBT2222A-FDICT-ND,0.20000,$0.80,https://www.diodes.com/assets/Datasheets/ds30041.pdf,"Q1,2,4,5"
8,5055670681,Molex,CONN HEADER SMD R/A 6POS 1.25MM,1,Cut Tape (CT),WM22471CT-ND,1.41000,$1.41,https://www.molex.com/pdm_docs/ps/5055650002-000.pdf,J2
9,KLDX-0202-A-LT,"Kycon, Inc.",CONN PWR JACK 2.0X5.5MM SOLDER,1,Bag,2092-KLDX-0202-A-LT-ND,1.88000,$1.88,http://www.kycon.com/2013Catalogpage/DC%20Power/KLDX_0202_LT.pdf,J1
10,KLDX-PA-0202-A-LT,"Kycon, Inc.","POWER PLUG ASSEMBLY, 2.0 MM DIA",1,Bag,2092-KLDX-PA-0202-A-LT-ND,4.22000,$4.22,http://www.kycon.com/2013Catalogpage/DC%20Power/KLDX-P.pdf,
11,RC0402JR-0710KL,YAGEO,RES 10K OHM 5% 1/16W 0402,5,Cut Tape (CT),311-10KJRCT-ND,0.15000,$0.75,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf,"R2,4,8,11,12"
12,CL05A104KA5NNNC,Samsung Electro-Mechanics,CAP CER 0.1UF 25V X5R 0402,1,Cut Tape (CT),1276-1043-1-ND,0.14000,$0.14,//media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL05A104KA5NNNC.pdf,C1
13,RC0402JR-071KL,YAGEO,RES 1K OHM 5% 1/16W 0402,4,Cut Tape (CT),311-1.0KJRCT-ND,0.15000,$0.60,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf,"R1,3,9,10"
14,RC0402FR-071M6L,YAGEO,RES 1.6M OHM 1% 1/16W 0402,1,Cut Tape (CT),13-RC0402FR-071M6LCT-ND,0.15000,$0.15,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf,R7
15,RNCP0805FTD20R0,Stackpole Electronics Inc,RES 20 OHM 1% 1/4W 0805,2,Cut Tape (CT),RNCP0805FTD20R0,0.15000,$0.15,https://www.seielect.com/catalog/sei-rncp.pdf,"R13,14"
16,RC0402FR-07100KL,YAGEO,RES 100K OHM 1% 1/16W 0402,1,Cut Tape (CT),RC0402FR-07100KL,0.15000,$0.15,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf,R6
17,RC0402FR-07200KL,YAGEO,RES 200K OHM 1% 1/16W 0402,1,Cut Tape (CT),RC0402FR-07200KL,0.15000,$0.15,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf,R5
